
Matthew 
1:1	A roll of the birth of Jesus Christ, son of David, son of Abraham. 
10:25	sufficient to the disciple that he may be as his teacher, and the servant as his lord; if the master of the house they did call Beelzeboul, how much more those of his household? 
10:26	'Ye may not, therefore, fear them, for there is nothing covered, that shall not be revealed, and hid, that shall not be known; 
10:27	that which I tell you in the darkness, speak in the light, and that which you hear at the ear, proclaim on the house-tops. 
10:28	'And be not afraid of those killing the body, and are not able to kill the soul, but fear rather Him who is able both soul and body to destroy in gehenna. 
10:29	'Are not two sparrows sold for an assar? and one of them shall not fall on the ground without your Father; 
10:30	and of you -- even the hairs of the head are all numbered; 
10:31	be not therefore afraid, than many sparrows ye are better. 
10:32	'everyone, therefore, who shall confess in me before men, I also will confess in him before my Father who is in the heavens; 
10:33	and whoever shall deny me before men, I also will deny him before my Father who is in the heavens. 
10:34	'Ye may not suppose that I came to put peace on the earth; I did not come to put peace, but a sword; 
10:35	for I came to set a man at variance against his father, and a daughter against her mother, and a daughter-in-law against her mother-in-law, 
10:36	and the enemies of a man are those of his household. 
10:37	'He who is loving father or mother above me, is not worthy of me, and he who is loving son or daughter above me, is not worthy of me, 
10:38	and whoever doth not receive his cross and follow after me, is not worthy of me. 
10:39	'He who found his life shall lose it, and he who lost his life for my sake shall find it. 
10:40	'He who is receiving you doth receive me, and he who is receiving me doth receive Him who sent me, 
10:41	he who is receiving a prophet in the name of a prophet, shall receive a prophet's reward, and he who is receiving a righteous man in the name of a righteous man, shall receive a righteous man's reward, 
10:42	and whoever may give to drink to one of these little ones a cup of cold water only in the name of a disciple, verily I say to you, he may not lose his reward.' 
11:1	And it came to pass, when Jesus ended directing his twelve disciples, he departed thence to teach and to preach in their cities. 
11:2	And John having heard in the prison the works of the Christ, having sent two of his disciples, 
11:3	said to him, 'Art thou He who is coming, or for another do we look?' 
11:4	And Jesus answering said to them, 'Having gone, declare to John the things that ye hear and see, 
11:5	blind receive sight, and lame walk, lepers are cleansed, and deaf hear, dead are raised, and poor have good news proclaimed, 
11:6	and happy is he who may not be stumbled in me.' 
11:7	And as they are going, Jesus began to say to the multitudes concerning John, 'What went ye out to the wilderness to view? -- a reed shaken by the wind? 
11:8	'But what went ye out to see? -- a man clothed in soft garments? lo, those wearing the soft things are in the kings' houses. 
11:9	'But what went ye out to see? -- a prophet? yes, I say to you, and more than a prophet, 
11:10	for this is he of whom it hath been written, Lo, I do send My messenger before thy face, who shall prepare thy way before thee. 
11:11	Verily I say to you, there hath not risen, among those born of women, a greater than John the Baptist, but he who is least in the reign of the heavens is greater than he. 
11:12	'And, from the days of John the Baptist till now, the reign of the heavens doth suffer violence, and violent men do take it by force, 
11:13	for all the prophets and the law till John did prophesy, 
11:14	and if ye are willing to receive it, he is Elijah who was about to come; 
11:15	he who is having ears to hear -- let him hear. 
11:16	'And to what shall I liken this generation? it is like little children in market-places, sitting and calling to their comrades, 
11:17	and saying, We piped unto you, and ye did not dance, we lamented to you, and ye did not smite the breast. 
11:18	'For John came neither eating nor drinking, and they say, He hath a demon; 
11:19	the Son of Man came eating and drinking, and they say, Lo, a man, a glutton, and a wine-drinker, a friend of tax-gatherers and sinners, and wisdom was justified of her children.' 
11:20	Then began he to reproach the cities in which were done most of his mighty works, because they did not reform. 
11:21	'Wo to thee, Chorazin! wo to thee, Bethsaida! because, if in Tyre and Sidon had been done the mighty works that were done in you, long ago in sackcloth and ashes they had reformed; 
11:22	but I say to you, to Tyre and Sidon it shall be more tolerable in a day of judgment than for you. 
11:23	'And thou, Capernaum, which unto the heaven wast exalted, unto hades shalt be brought down, because if in Sodom had been done the mighty works that were done in thee, it had remained unto this day; 
11:24	but I say to you, to the land of Sodom it shall be more tolerable in a day of judgment than to thee.' 
11:25	At that time Jesus answering said, 'I do confess to Thee, Father, Lord of the heavens and of the earth, that thou didst hide these things from wise and understanding ones, and didst reveal them to babes. 
11:26	Yes, Father, because so it was good pleasure before Thee. 
11:27	'All things were delivered to me by my Father, and none doth know the Son, except the Father, nor doth any know the Father, except the Son, and he to whom the Son may wish to reveal Him. 
11:28	'Come unto me, all ye labouring and burdened ones, and I will give you rest, 
11:29	take up my yoke upon you, and learn from me, because I am meek and humble in heart, and ye shall find rest to your souls, 
11:30	for my yoke is easy, and my burden is light.' 
12:1	At that time did Jesus go on the sabbaths through the corn, and his disciples were hungry, and they began to pluck ears, and to eat, 
12:2	and the Pharisees having seen, said to him, 'Lo, thy disciples do that which it is not lawful to do on a sabbath.' 
12:3	And he said to them, 'Did ye not read what David did, when he was hungry, himself and those with him -- 
12:4	how he went into the house of God, and the loaves of the presentation did eat, which it is not lawful to him to eat, nor to those with him, except to the priests alone? 
12:5	'Or did ye not read in the Law, that on the sabbaths the priests in the temple do profane the sabbath, and are blameless? 
12:6	and I say to you, that a greater than the temple is here; 
12:7	and if ye had known what is: Kindness I will, and not sacrifice -- ye had not condemned the blameless, 
12:8	for the son of man is lord even of the sabbath.' 
12:9	And having departed thence, he went to their synagogue, 
12:10	and lo, there was a man having the hand withered, and they questioned him, saying, 'Is it lawful to heal on the sabbaths?' that they might accuse him. 
12:11	And he said to them, 'What man shall be of you, who shall have one sheep, and if this may fall on the sabbaths into a ditch, will not lay hold on it and raise it? 
12:12	How much better, therefore, is a man than a sheep? -- so that it is lawful on the sabbaths to do good.' 
12:13	Then saith he to the man, 'Stretch forth thy hand,' and he stretched it forth, and it was restored whole as the other. 
12:14	And the Pharisees having gone forth, held a consultation against him, how they might destroy him, 
12:15	and Jesus having known, withdrew thence, and there followed him great multitudes, and he healed them all, 
12:16	and did charge them that they might not make him manifest, 
12:17	that it might be fulfilled that was spoken through Isaiah the prophet, saying, 
12:18	'Lo, My servant, whom I did choose, My beloved, in whom My soul did delight, I will put My Spirit upon him, and judgment to the nations he shall declare, 
12:19	he shall not strive nor cry, nor shall any hear in the broad places his voice, 
12:20	a bruised reed he shall not break, and smoking flax he shall not quench, till he may put forth judgment to victory, 
12:21	and in his name shall nations hope.' 
